position,rotation,velocity,angular_velocity
[8.095386 0.1000907 -23.24944],[0.9997219 0.01472916 0.005275977 0.0176494],[-0.5231073 0.0 -0.3633027],[-0.0004770495 -1.709963E-05 1.102373E-05]
[8.08487 0.1000907 -23.25654],[0.9997219 0.01472624 0.005275929 0.01764913],[-0.5257605 0.0 -0.3546282],[-0.000291627 -9.525616E-06 -2.459684E-05]
[8.074303 0.1000907 -23.26346],[0.9997219 0.01472511 0.005275918 0.01764854],[-0.5283924 0.0 -0.3460242],[-0.0001135122 -2.236327E-06 -5.925138E-05]
[8.063683 0.1000907 -23.27021],[0.9997219 0.01472574 0.005275943 0.01764761],[-0.5310031 0.0 -0.3374894],[6.313056E-05 4.982819E-06 -9.326672E-05]
[8.053011 0.1000907 -23.27679],[0.9997219 0.01472819 0.005276005 0.01764635],[-0.5335925 0.0 -0.3290227],[0.0002437955 1.234623E-05 -0.0001271074]
[8.042288 0.1000907 -23.2832],[0.9997219 0.01473246 0.005276103 0.01764479],[-0.5361606 0.0 -0.3206227],[0.0004261399 1.966245E-05 -0.0001576811]
[8.031513 0.1000907 -23.28945],[0.9997218 0.01473869 0.00527624 0.01764293],[-0.5387077 0.0 -0.3122883],[0.0006218096 2.746769E-05 -0.0001887844]
[8.020689 0.1000907 -23.29553],[0.9997218 0.01474699 0.005276418 0.01764076],[-0.5412336 0.0 -0.3040182],[0.0008278481 3.56673E-05 -0.0002209901]
[8.009814 0.1000907 -23.30145],[0.9997216 0.01475755 0.00527663 0.01763895],[-0.5437384 0.0 -0.295811],[0.001054619 4.261874E-05 -0.0001865579]
[7.99889 0.1000907 -23.3072],[0.9997215 0.01477054 0.005276861 0.0176388],[-0.5462225 0.0 -0.2876653],[0.001298727 4.62778E-05 -2.096415E-05]
[7.987916 0.1000907 -23.31279],[0.9997212 0.01478616 0.005277085 0.01764214],[-0.5486866 0.0 -0.2795798],[0.001562828 4.522852E-05 0.0003262162]
[7.976893 0.1000907 -23.31822],[0.9997208 0.01480453 0.005277272 0.01765123],[-0.5511323 0.0 -0.2715529],[0.001842203 3.793159E-05 0.0009008509]
[7.965822 0.1000907 -23.32349],[0.9997201 0.01482596 0.005277388 0.01766872],[-0.5535619 0.0 -0.2635829],[0.00215243 2.386922E-05 0.001738503]
[7.954703 0.1000907 -23.32861],[0.9997192 0.01485055 0.005277391 0.01769756],[-0.5559788 0.0 -0.2556684],[0.002474017 1.351719E-06 0.002871412]
[7.943535 0.1000907 -23.33356],[0.999718 0.01487838 0.005277234 0.01774087],[-0.5583876 0.0 -0.2478076],[0.002807427 -3.012969E-05 0.004317024]
[7.93232 0.1000907 -23.33836],[0.9997165 0.01490964 0.005276871 0.01780196],[-0.5607938 0.0 -0.2399988],[0.003160574 -7.086383E-05 0.006093089]
[7.921055 0.1000907 -23.34301],[0.9997145 0.01494451 0.005276256 0.01788415],[-0.5632045 0.0 -0.2322401],[0.003533549 -0.0001209295 0.008200834]
[7.909743 0.1000907 -23.3475],[0.999712 0.01498303 0.005275338 0.01799073],[-0.5656278 0.0 -0.2245298],[0.003911713 -0.0001808108 0.01063798]
[7.898381 0.1000907 -23.35183],[0.999709 0.01502535 0.005274073 0.01812491],[-0.5680731 0.0 -0.216866],[0.004309011 -0.0002497887 0.01339539]
[7.88697 0.1000907 -23.35602],[0.9997053 0.01507151 0.005272414 0.01828972],[-0.570551 0.0 -0.2092468],[0.00471051 -0.0003279059 0.01645546]
[7.875509 0.1000907 -23.36005],[0.9997009 0.01512153 0.005270317 0.01848795],[-0.5730731 0.0 -0.2016702],[0.005115185 -0.0004145856 0.01979631]
[7.863996 0.1000907 -23.36394],[0.9996957 0.01517541 0.005267743 0.01872214],[-0.575652 0.0 -0.1941345],[0.005522029 -0.0005090538 0.02338924]
[7.852429 0.1000907 -23.36767],[0.9996898 0.01523314 0.005264658 0.01899452],[-0.5783013 0.0 -0.1866376],[0.005929524 -0.0006105255 0.0272055]
[7.840809 0.1000907 -23.37125],[0.9996828 0.01529456 0.005261029 0.01930693],[-0.5810353 0.0 -0.1791778],[0.006322533 -0.0007184401 0.03120637]
[7.829132 0.1000907 -23.37469],[0.999675 0.01535959 0.005256829 0.01966079],[-0.5838687 0.0 -0.1717531],[0.006706965 -0.0008313474 0.03534987]
[7.817395 0.1000907 -23.37797],[0.999666 0.01542804 0.005252038 0.02005713],[-0.5868171 0.0 -0.1643619],[0.007074397 -0.0009483502 0.03959502]
[7.805597 0.1000907 -23.38111],[0.9996561 0.01549981 0.005246645 0.0204965],[-0.5898959 0.0 -0.1570025],[0.007430897 -0.001067863 0.04389677]
[7.793735 0.1000907 -23.38411],[0.9996449 0.01557468 0.00524064 0.02097902],[-0.5931209 0.0 -0.1496732],[0.007767488 -0.001188835 0.04820891]
[7.781805 0.1000907 -23.38695],[0.9996326 0.01565232 0.00523402 0.02150436],[-0.5965075 0.0 -0.1423726],[0.008069492 -0.001310655 0.05249067]
[7.769804 0.1000907 -23.38966],[0.999619 0.01573251 0.00522679 0.02207177],[-0.6000714 0.0 -0.1350992],[0.008350364 -0.001431348 0.05669608]
